 ,Area,X,Y,XM,YM,Circ.,%Area,AR,Round,Solidity
108,0.017,1.076,0.678,1.076,0.678,0.889,99.814,1.208,0.828,0.956
109,0.018,1.632,0.705,1.632,0.705,0.891,98.582,1.134,0.882,0.957
110,0.023,2.024,0.716,2.024,0.716,0.897,98.897,1.156,0.865,0.966
111,0.009,0.836,0.691,0.836,0.691,0.890,100.000,1.071,0.934,0.948
112,0.006,3.214,0.682,3.214,0.682,0.928,100.000,1.134,0.882,0.940
113,0.007,2.503,0.696,2.503,0.696,0.880,100.000,1.277,0.783,0.947
114,0.018,4.668,0.718,4.668,0.717,0.883,92.498,1.045,0.957,0.958
115,0.007,3.779,0.697,3.779,0.697,0.841,99.568,1.218,0.821,0.936
116,0.038,3.988,0.769,3.988,0.770,0.868,87.977,1.171,0.854,0.968
117,1.102E-4,0.386,0.664,0.386,0.664,0.621,100.000,1.560,0.641,0.700
118,0.018,2.243,0.744,2.244,0.744,0.904,97.719,1.181,0.847,0.962
119,0.005,2.906,0.709,2.906,0.709,0.837,100.000,1.162,0.861,0.923
120,0.024,3.003,0.784,3.003,0.784,0.771,98.937,2.014,0.497,0.950
121,0.013,4.314,0.743,4.314,0.743,0.902,99.874,1.156,0.865,0.962
122,0.012,3.571,0.738,3.571,0.738,0.821,100.000,1.513,0.661,0.938
123,0.023,0.569,0.757,0.569,0.756,0.875,99.308,1.286,0.777,0.964
124,0.016,4.927,0.773,4.928,0.775,0.912,73.700,1.142,0.876,0.963
125,0.003,4.808,0.745,4.808,0.746,0.089,94.118,1.687,0.593,0.565
126,0.021,1.481,0.805,1.481,0.805,0.818,99.628,1.560,0.641,0.962
127,0.016,3.306,0.806,3.306,0.806,0.792,100.000,1.755,0.570,0.950
128,0.011,0.952,0.782,0.952,0.782,0.899,100.000,1.212,0.825,0.950
129,0.026,2.417,0.824,2.417,0.824,0.892,92.721,1.269,0.788,0.967
130,0.004,0.298,0.779,0.298,0.779,0.932,100.000,1.117,0.895,0.930
131,0.005,0.395,0.796,0.395,0.796,0.905,100.000,1.059,0.945,0.932
132,0.004,3.774,0.798,3.774,0.798,0.955,100.000,1.081,0.925,0.943
133,0.042,1.144,0.903,1.144,0.902,0.818,93.102,1.451,0.689,0.967
134,0.007,1.338,0.832,1.339,0.832,0.749,96.698,1.095,0.913,0.929
135,0.021,1.667,0.853,1.667,0.853,0.844,99.476,1.572,0.636,0.963
136,0.014,4.404,0.858,4.404,0.858,0.889,96.329,1.246,0.803,0.950
137,3.149E-5,4.806,0.790,4.806,0.790,0.785,100.000,2.646,0.378,0.667
138,0.010,2.820,0.845,2.820,0.845,0.915,100.000,1.213,0.824,0.953
139,0.015,1.986,0.858,1.986,0.858,0.818,95.988,1.590,0.629,0.944
140,0.016,4.218,0.867,4.218,0.868,0.927,94.560,1.132,0.883,0.966
141,0.062,3.634,0.946,3.634,0.947,0.882,95.794,1.054,0.949,0.973
142,0.005,3.415,0.851,3.415,0.851,0.857,100.000,1.255,0.797,0.936
143,0.037,0.746,0.939,0.747,0.939,0.744,97.320,1.737,0.576,0.910
144,0.011,2.627,0.890,2.627,0.890,0.893,100.000,1.104,0.905,0.950
145,0.033,3.146,0.972,3.146,0.970,0.549,94.009,1.679,0.596,0.855
146,0.024,4.608,0.929,4.609,0.929,0.859,79.406,1.279,0.782,0.962
147,0.020,4.828,0.915,4.830,0.917,0.851,83.842,1.162,0.861,0.959
148,0.011,0.957,0.901,0.957,0.901,0.913,100.000,1.085,0.922,0.953
149,0.004,2.186,0.873,2.186,0.873,0.944,100.000,1.123,0.891,0.934
150,0.003,0.467,0.873,0.467,0.873,0.934,100.000,1.142,0.876,0.935
151,0.016,0.367,0.945,0.367,0.945,0.923,100.000,1.023,0.977,0.965
152,1.575E-5,5.026,0.879,5.026,0.879,1.000,100.000,1.000,1.000,1.000
153,0.033,0.203,0.997,0.206,0.998,0.776,90.726,1.530,0.654,0.937
154,0.016,1.352,0.960,1.352,0.960,0.884,94.645,1.211,0.826,0.958
155,0.019,2.261,0.982,2.261,0.983,0.907,98.423,1.197,0.836,0.961
156,0.055,4.020,1.031,4.019,1.037,0.488,79.623,1.203,0.831,0.847
157,0.003,2.938,0.944,2.938,0.944,0.909,100.000,1.078,0.928,0.924
158,0.035,2.568,1.058,2.568,1.058,0.694,99.368,2.106,0.475,0.925
